Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
32,Cardenas,es ESP,GK,Levante,es La Liga,24,1997,24.0,1.0,90.0,24.0,1.9166666666666667,1.92,5.0,3.0833333333333335,65.0,0.25,0.25,0.5,0.20833333333333334,20.8,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.9166666666666667,0.16666666666666666,0.041666666666666664,0.20833333333333334,0.0,1.7291666666666667,0.012916666666666667,-0.1875,-0.19,3.8333333333333335,12.333333333333334,31.1,21.875,3.5416666666666665,41.9,36.6,8.25,38.4,35.7,13.833333333333334,0.4166666666666667,3.0,1.0833333333333333,1.08,15.6,0.860907552121542
33,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14.0,1.0,90.0,14.0,1.2142857142857142,1.21,4.285714285714286,3.0714285714285716,71.7,0.21428571428571427,0.2857142857142857,0.5,0.21428571428571427,21.4,0.0,0.0,0.0,0.0,0.0,1.2142857142857142,0.0,0.0,0.07142857142857142,0.0,1.2285714285714284,0.020714285714285713,0.014285714285714287,0.01,5.357142857142857,15.571428571428571,34.4,24.857142857142858,5.5,42.5,36.4,9.714285714285714,51.5,40.8,15.5,0.5714285714285714,3.7,1.0714285714285714,1.07,15.2,0.9201702308888685
34,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28.0,1.0,90.0,28.0,1.4285714285714286,1.43,4.214285714285714,2.7142857142857144,68.6,0.39285714285714285,0.21428571428571427,0.39285714285714285,0.35714285714285715,35.7,0.21428571428571427,0.10714285714285714,0.07142857142857142,0.03571428571428571,40.0,1.4285714285714286,0.10714285714285714,0.0,0.14285714285714285,0.0,1.5,0.011428571428571429,0.07142857142857142,0.07,5.892857142857143,13.214285714285714,44.6,31.178571428571427,4.821428571428571,30.6,32.3,7.285714285714286,50.5,42.1,14.75,1.1071428571428572,7.5,1.0714285714285714,1.07,14.8,1.0249947929684207
35,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,17.0,1.0493827160493827,89.93827160493828,16.2,1.7901234567901236,1.79,4.753086419753086,3.0246913580246915,68.8,0.2469135802469136,0.4938271604938272,0.308641975308642,0.1851851851851852,17.6,0.3703703703703704,0.308641975308642,0.0617283950617284,0.0,16.7,1.7901234567901236,0.308641975308642,0.0,0.2469135802469136,0.1234567901234568,1.7654320987654322,0.019135802469135803,0.09876543209876544,0.1,6.419753086419753,14.938271604938272,43.0,21.666666666666668,4.2592592592592595,49.0,39.8,5.802469135802469,74.5,54.6,12.037037037037038,0.3703703703703704,3.1,0.8641975308641976,0.86,16.0,0.6904930787873617
36,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,1.0,0.0,60.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,100.0,61.0,20.0,100.0,68.0,50.0,10.0,20.0,0.0,0.0,5.0,0.5988657150520541
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,37.0,1.0027100271002711,90.02710027100271,36.9,1.7073170731707317,1.71,4.634146341463415,2.926829268292683,67.8,0.3523035230352304,0.2981029810298103,0.3523035230352304,0.08130081300813008,8.1,0.24390243902439027,0.21680216802168023,0.02710027100271003,0.0,11.1,1.7073170731707317,0.21680216802168023,0.0,0.2710027100271003,0.02710027100271003,1.5176151761517616,0.0075880758807588084,-0.16260162601626016,-0.16,5.040650406504065,11.680216802168022,43.2,33.03523035230352,4.715447154471545,29.0,30.9,6.666666666666667,31.7,28.8,13.306233062330623,0.5691056910569106,4.3,0.8130081300813008,0.81,13.4,1.2402128646861803
38,Benoit Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,1.0,90.0,25.0,2.48,2.48,5.32,2.88,57.1,0.12,0.32,0.56,0.0,0.0,0.2,0.2,0.0,0.0,0.0,2.48,0.2,0.04,0.2,0.04,1.764,0.0116,-0.6759999999999999,-0.68,7.24,16.96,42.7,27.44,3.12,40.2,35.3,8.72,67.9,47.9,14.2,0.36,2.5,1.56,1.56,16.9,0.8707274163939416
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,1.0,90.0,36.0,0.8055555555555556,0.81,3.3333333333333335,2.5277777777777777,77.5,0.7222222222222222,0.19444444444444445,0.08333333333333333,0.4444444444444444,44.4,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.0,33.3,0.8055555555555556,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.0,0.9249999999999999,0.006944444444444444,0.11944444444444444,0.12,2.0555555555555554,6.972222222222222,29.5,26.0,5.222222222222222,20.3,28.8,5.527777777777778,30.7,34.3,12.972222222222221,0.5833333333333334,4.5,0.8611111111111112,0.86,15.5,1.458175844698613
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,1.0,90.0,35.0,1.8,1.8,4.8,2.9714285714285715,66.1,0.17142857142857143,0.2857142857142857,0.5428571428571428,0.05714285714285714,5.7,0.22857142857142856,0.17142857142857143,0.05714285714285714,0.0,25.0,1.8,0.17142857142857143,0.11428571428571428,0.2857142857142857,0.02857142857142857,1.497142857142857,0.008,-0.2742857142857143,-0.27,9.17142857142857,20.085714285714285,45.7,25.428571428571427,3.2,52.9,39.4,9.028571428571428,73.4,48.2,13.82857142857143,0.6285714285714286,4.5,0.9428571428571428,0.94,15.0,0.7317288179783987
41,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,1.0,90.0,2.0,1.5,1.5,2.5,1.0,60.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,1.05,0.12,-0.45,-0.43,1.5,7.0,21.4,29.5,4.5,16.9,25.8,10.0,20.0,31.2,13.5,1.0,7.4,1.0,1.0,14.4,0.82676484216534
